,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
6107,CERV LEFFE ROYALE ONEWAY LN 330ML C/4,ESPECIAIS,CERVEJA
6108,FILE PEITO SAO LUIZ RESF KG,FILÉ,AVE RESFRIADA
6109,FORMA MARINEX FILETADA 622841,FORMA,UTENSÍLIOS DE VIDRO
6110,AP SANIT PATO ESPUMA ATIVA TROPICAL C/1,PEDRA,LIMPEZA SANITÁRIA
6111,"ESFREGA FALSO TE REFIL, RB",FILTRO,PRAIA/PISCINA
6112,FIO DENTAL PREDENT 100M PROPOLIS,FIO DENTAL,FIO/FITA DENTAL
6113,SUCO FITUP LIFE MISTO GFA 360ML,REGULAR,SUCO PRONTO/NECTAR
6114,PRO WHEY PROTEINA PROBIOTICA MOR 500G NV,PROTEÍNA,SUPLEMENTO ALIMENTAR
6115,SACO CRU DOZA 40X70CM,PANO MULTIUSO,PANOS/FLANELAS
6116,MOLHO UNCLE BENS P/SALADA 250G MOSTARDA,TRADICIONAL,MOLHO PARA SALADA
6117,LIVRO LER E COLORIR C/GIZ MOANA,LIVROS,LIVROS
6118,COPO ROCKS LIGHTS NADIR 290ML,COPO,UTENSÍLIOS DE VIDRO
6119,PASCOA OVO LACTA DIAMANTE NEGR LAKA 500G,OVO DE PÁSCOA,OVO DE PÁSCOA
6120,PIZZA SL 430G FGO,MUSSARELA,PIZZA
6121,BANANA PRATA ORG CAPELA 800G-BJ,BANANA,FRUTAS
6122,TINT PERM NUTRISSE MASCR KIT 55 ACJ PROVOCAN,PERMANENTE OUTROS,COLORAÇÃO FEMININA
6123,COMPOSTO LACTEO LACFORT 400G-PC C/MALTODEXTRINA,FÓRMULAS INFANTIS / COMPOSTO LÁCTEO,NUTRIÇÃO INFANTIL
6124,DOCE RITTER MORANGO LIGHT PT 380G,LIGHT,DOCE PASTA
6125,SALG NONG SHIM CAMARAO 75 GR,SALGADINHO,COMIDA ORIENTAL
6126,SAND INF BEN10 ALIE FORC INF.PTO/VD,SANDÁLIA,CALÇADO ADULTO
6127,TAPETE IMP ACASA FINGER B 60X90 BC 651,TAPETES,CAPACHOS E TAPETES
6128,SAB LIQ SEIVA CAMPO 300ML ALFAZEMA,BÁSICO,SABONETE LÍQUIDO
6129,BISC PASSATEMPO RECH BRIG ROSA 130G,RECHEADO,BISCOITO
6130,TIGELA PLASTICA 1L EVO MARFIM,TIGELA,UTENSÍLIOS DE PLÁSTICO
6131,CARNE AURORA FGO EMP 1kg AUROGG CROQ.,STEAK DE FRANGO,EMPANADO
6132,FRALDA LOONEY TUNES MEGA PEQ 50UN,BÁSICA P,FRALDA INFANTIL
6133,PAO FOR INTEG ESTAR BEM WICKBOLD FORMA 300G,FORMA INTEGRAL/GRÃOS,PÃES
6134,SAND INF HAVAIANAS BABY CHIC 20 CZA/AZUL,SANDÁLIA,CALÇADO INFANTIL
6135,COQUETELEIRA PLASTICO PLASTIFESTA 500ML,COQUETELEIRA,UTENSÍLIOS DE PLÁSTICO
6136,BISC IMP FRAN CERELINE COB CHOC PC 150G,IMPORTADO,BISCOITO
6137,SALG CHIO STICKLETTI/BREZLI PT 250G,SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO
6138,AZEITONA PTA CC T PACO 200G-VD,PRETA COM CAROÇO,AZEITONA
6139,PEITO FGO.S/OSSO S/PELE CONG.UNIAVES KG,PEITO DE FRANGO,AVE CONGELADA
6140,PIRULITO CHUPS SUR 12g,PIRULITO OUTROS,BOMBONIERE
6141,COLAGENO SANAVITA 300G CHOCOLATE,COLÁGENO,SUPLEMENTO ALIMENTAR
6142,CHAMPAGNE MOUTARD 6 CEPA ROSE 2010 750ML,IMPORTADO,CHAMPAGNE
6143,MARMITEIRA (PLASTICO).. -DAISO,MARMITA,UTENSÍLIOS DE PLÁSTICO
6144,SAL COARSE SMART SEA C/MOEDOR 340G,SAL PARA CHURRASCO,SAL
6145,RACAO FARO 2kg FILHOTE CARNE .,SECO,ALIMENTO PARA CÃES
6146,CHOC CANDY BAR CHARGE 30X30G,CHOCOLATE CANDY BAR,BOMBONIERE
6147,PH FS PERSONAL ALOE VERA 8X30M,FOLHA SIMPLES,PAPEL HIGIÊNICO
6148,PIMENTA SIRIA SABOR 65G,PIMENTA OUTRAS,CONDIMENTO NATURAL
6149,PIZZA DA CASA kg PRESUNTO,CALABRESA,PIZZA
6150,CHUPETA ANE BABY GLITER REDONDO N1 ROSA,CHUPETA,PUERICULTURA
6151,PAPRICA ALHEIRO 30G-EV PICANTE,PÁPRICA,CONDIMENTO NATURAL
6152,"MANTEIGA BATAVO 200G, S SAL",COM SAL,MANTEIGA
6153,VINHO CASA GERALDO 750ML CAB/MER/TAN FINO TTO M/SECO,VINHO TINTO,VINHO
6154,LAVA ROUPA LIQ OLA ENERGIA(JASMIM) 500ML,DELICADA,LAVA ROUPA LÍQUIDO
6155,CONJ SPLIT GREE GARDEN 18000 Q/F 220 GWH,SPLIT/MULTISPLIT,VENTILAÇÃO
6156,MAIONESE ARISCO 196G SACHET,TRADICIONAL,MAIONESE
6157,QUEIJO PROC FAT PASTZ POLENG SANDW 8FAT 160G 4 QUEIJOS,PROCESSADO,QUEIJO
6158,PRATO SANREMO BOULEVARD 17CM,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
6159,"SUCO QTA DOS BACELOS 1,5L UVA INT",INTEGRAL,SUCO PRONTO/NECTAR
6160,BOLINHA BACALHAU SAO LUIZ KG,BACALHAU,PEIXE RESFRIADO
6161,LEITE POLLY INTEGRAL UHT CX/12X1L,INTEGRAL,LEITE UHT
6162,VINHO CHI SACRIFICIO TTO GRAN RES 750ML,VINHO TINTO,VINHO
6163,VELA FEST LAR GLITER C/1 N.6 BRANCA,VELA,ARTIGOS PARA FESTAS
6164,RAPAD CID MAMAO 500g,MAMÃO,FRUTAS
6165,IOGURTE FRIMESA GREGO 100G JABUTICABA,GREGO,IOGURTE
6166,CADERNO CD UNIV LIFT AZUL 96FLS,CADERNO,MATERIAL ESCOLAR
6167,GEL FIX CHARMING BLACK EXT FORT AERO 400ML,FIXADOR,FIXADOR DE CABELO
6168,GENGIBRE PO KG,GENGIBRE,CONDIMENTO NATURAL
6169,CHICLE BUZZY NICKELODEON UVA 340G-DY C/100,CHICLETE OUTROS SABORES,BOMBONIERE
6170,PRATO PRONTO ATELIE YAKISSOBA 300G,TEMAKI,COMIDA ORIENTAL
6171,SUCO P/LANCHONETE 5L CITROLIFE MANGA,REGULAR,SUCO PRONTO/NECTAR
6172,ESTILETE RETRATIL TRAMONTINA 6 43390/300,ESTILETE,FERRAMENTA
6173,CADERNO CD UNIV JUSTIN BIEBER 1X1 96FLS,CADERNO,MATERIAL ESCOLAR
6174,DESOD ROLL ON BIO MASC MINERAL ICE 50ML,ROLL ON COM PERFUME,DESODORANTE UNISSEX
6175,EPISOL OIL FREE FPS30 MANTECORP 120ML,FPS 30,PROTETOR SOLAR CORPORAL
6176,MAC SANTA AMALIA INST 85GR PICANHA,TABLET PICANHA,MASSA SECA
6177,MAC INST PARATI 70G CARNE,INSTANTÂNEO CARNE,MASSA SECA
6178,PIMENTA PONZAN MISTA 260G,PIMENTA OUTRAS,CONDIMENTO NATURAL
6179,BALA GELAT ARCOR PLUTONITA 70G RODIN ACI,BALAS - GELATINA,BOMBONIERE
6180,ACUCAR DEMERARA PRECIOSO 1KG,DEMERARA,AÇÚCAR
6181,ESPINAFRE IRMAOS VIERA MH,ESPINAFRE,VERDURAS
6182,PRESUNTO PARMA BERETTA DOP FATIADO 100G,FATIADO,PRESUNTO
6183,ESCOVA CAB MARCO BONI OVAL GD CINTILANTE,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
6184,SAND (f) HAVAIANAS SL ORG 35/36 PT/CZ/RS,SANDÁLIA,CALÇADO ADULTO
6185,ROC MINESOL ACTIFY FPS 60 50G,FPS 30,PROTETOR SOLAR CORPORAL
6186,MOLH PIMEN KODILAR 900 ML,PIMENTA OUTRAS,CONDIMENTO NATURAL
6187,CHICLE MENTOS WHITE TUTTI FRESH 85G,CHICLETE OUTROS SABORES,BOMBONIERE
6188,DETERG BIOZ GREEN HOME NEUTRO FR 600ML,BÁSICO,LAVA ROUPA LÍQUIDO
6189,CALDEIRAO TRAMONTINA SOLAR 62505/280,CALDEIRÃO,UTENSÍLIOS DE INOX/ALUMÍNIO
6190,SACO P/LIXO PLASLIXO LEITOSO 50L .,SACO DE LIXO,SACOS
6191,BOLO MINI CHOC PINGUINOS 80G PC RECH CHOC,CHOCOLATE,BOLOS
6192,BORRACHA PANELA PRESSAO 7L M USO .,ACESÓRIOS PANELA,MANUTENÇÃO COZINHA
6193,MOLHO DE OSTRA L.K.K 255G,TRADICIONAL,MOLHO DE PIMENTA
6194,DES AERO AXE TOUCH 113G,AEROSOL COM PERFUME,DESODORANTE MASCULINO
6195,CR PENTEAR SEDA BRILHO GLOSS 300ML,TRADICIONAL,CREME DE PENTEAR
6196,AMARRA MARIDO kg .,MISTURAS,FARINÁCEO
6197,ESTEIRA SUDARE CAMPO VERDE,VERDE,SAUDÁVEL
6198,LENCOS UMED MILI BALDE AZUL INF.450UN,LENÇO UMEDECIDO INFANTIL,LENÇO UMEDECIDO INFANTIL
6199,MOLHO KITANO ALHO 150ML,TRADICIONAL,MOLHO DE ALHO
6200,BISC MARILAN DISTRACAO CHOC/COC PCT 360G,RECHEADO,BISCOITO
6201,CERA LIQ POLITRIZ VERDE 750ML,CERA INCOLOR,TRATAMENTO DE PISO
6202,ABS MILI CONF.TOTAL F.BAIXO 8UN,EXTERNO COM ABAS,ABSORVENTE
6203,PAO FOR INTEG VALE SOL 400G- PC LINHACA/AVEIA,FORMA INTEGRAL/GRÃOS,PÃES
6204,MINI CEBOLA MISTER RABBIT S/CASCA 283G,CENOURA,LEGUMES
6205,INSET GEL BLATTANEX MATA BARATA 10G,AEROSOL BARATAS,INSETICIDA
6206,MOLHO PIMEN DONA PIMENTA 150ML,TRADICIONAL,MOLHO DE PIMENTA
6207,SNACK &JOY 15G MANDIOQ,SNACK,SAUDÁVEL
6208,VASSOURA TERREIRO NYLON ESFREGAO,VASSOURA,LIMPEZA
6209,COND OX PLANTS NUTRICAO 240ML,TRADICIONAL,CONDICIONADOR
6210,RESISTENCIA BELLA DUCHA LORENZETTI,RESISTÊNCIA,HIDRÁULICA
6211,DES ROLL REXONA POWDER KIT PREC ESP 3X50ML,ROLL ON COM PERFUME,DESODORANTE FEMININO
6212,KIT COLCHA IMP ACASA ULTRA R QUEEN ROSE,COLCHA,CAMA
6213,DES AERO AXE SECO CONVICTION 90G,AEROSOL COM PERFUME,DESODORANTE MASCULINO
6214,LINGUICA CALABRESA PRIETO RESF PCT 600G,CALABRESA,LINGUIÇA
6215,SANDALIA IPANEMA WAY AZ 37,SANDÁLIA,CALÇADO ADULTO
6216,SEMENTE ISLA 300MG CRAVINA RENDADA,SEMENTES,JARDINAGEM PLANTAR
6217,BISC AMANT AYMORE 330G-PC LEITE,AMANTEIGADO,BISCOITO
6218,COLHER DE SOBREMESA und OCEANO,COLHER,UTENSÍLIOS DE INOX/ALUMÍNIO
6219,PAO BAGUETE ESPECIAL SAO LUIZ KG,BAGUETE,PÃES
6220,PICOLE FRUT BISS ESPECIAL 60G ACAI,PICOLÉ,SORVETE
6221,ARROZ INTEGRAL UNCLE BENS 1KG,INTEGRAL,ARROZ
6222,SANDALIA HAVAIANAS KIDS FLORES AMARELO POLEM 27/28,SANDÁLIA,CALÇADO INFANTIL
6223,CHA LIPTON LIMAO/GENGIBRE C/10 CX 12G,ICE TEA,CHÁ
6224,VINHO CHILENO DONA DOMINGA CHARD-SEMIL 375ML,VINHO CHILENO,VINHO
6225,SHAMPOO/COND CAO FIEL FR 200ML,RESTAURADOR,SHAMPOO
6226,GARFO REFEICAO LINHA GOLD C/08,TALHERES,ARTIGOS PARA FESTAS
6227,"PAO MEL BOLAMEL ACHOC 300G,",PÃO DE MEL,BOMBONIERE
6228,SABONETEIRA ACASA A CIMEN GRANILITE 3121,SABONETEIRA,SABONETEIRA
6229,VELA SAO DOMINGOS 7 DIAS TERCO/ BISANTINO,VELA,ILUMINAÇÃO
6230,MAC BORTOLINI 500GR OVOS PENNE .,PENNE,MASSA SECA
6231,CAMARAO CAPIVARI DESC PRE COZIDO BJ 500G,CAMARÃO,FRUTOS DO MAR CONGELADOS
6232,CERV KUD TANGERINE WITBIER GF 600ML,ARTESANAIS,CERVEJA
6233,CURATIVO ISABABY C/35 TRAD .,CURATIVO,CURATIVO
6234,SANDALIA HAVAIANA TREND ADULTO .,SANDÁLIA,CALÇADO ADULTO
6235,CHALEIRA ELET PHILCO PT 1.7L 127V PHC20P,CHALEIRA ELETRICA,CAFETEIRA/CHALEIRA ELETRICA
6236,GARFO SOBREMESA C/50un CONEXAO CRISTAL,TALHERES,ARTIGOS PARA FESTAS
6237,PAPEL DE PRESENTE 50X60 C 2 FLS DISNEY,PAPEL DE PRESENTE,PAPELARIA
6238,BISC FESTIVA RECH 130G CHOCOLATE,RECHEADO,BISCOITO
6239,"PATE PRESUNTO SEARA 100G,",FATIADO,PRESUNTO
6240,CACAROLA TRAMONTINA PARIS VM 18 20520718,CAÇAROLA,UTENSÍLIOS DE INOX/ALUMÍNIO
6241,"BEBIDA LACT GOODY 850G, MORANGO",BEBIDA LÁCTEA,IOGURTE
6242,SH SFERA S/SAL MANT MANGA/QUER 250ML,HIDRATAÇÃO,SHAMPOO
6243,CR PENTEAR TRESEMME BAIXO POO 300ML,TRADICIONAL,CREME DE PENTEAR
6244,REPELENTE INSECT FREE 150ML INSETOS,SPRAY,REPELENTES
6245,TORTA ABACAXI CARONE KG,TORTA DOCE,TORTA
6246,BISC NESFIT LARANJA CENOURA PCT 88G,SABORIZADO,BISCOITO
6247,COND TRA LA LA BABY HIDRATA PUMP PERSONAGEM 250ML,USO DIÁRIO,SHAMPOO INFANTIL
6248,BOCAL MAM EXTRAMACIO STAR CUP C/2 7135,MAMADEIRA,PUERICULTURA
6249,"TOALHA UMED LOOPING BABY, LAVANDA",TRADICIONAL,TOALHA UMEDECIDA INFANTIL
6250,BISC KOALA LOTTE CHOCOLATE 49G,RECHEADO,BISCOITO
6251,SALAME HAMBURGUES HACIENDAS 80G,HAMBURGO,SALAME
6252,CONJ COPO NADIR 480ML DUBAI LD C/6,COPO,UTENSÍLIOS DE VIDRO
6253,BALA DROPS PAST ICEKISS AZEDINHA MORANGO 290G DY C10,BALAS - DROPS E PASTILHA,BOMBONIERE
6254,XAROPE GROSELHA XERETA 1L,GROSELHA,XAROPE
6255,GERMANA MASSA P/PIZZA COQUETEL 500g,PIZZA REGULAR,MASSA FRESCA
6256,VELA FESTCOLOR GLITTER BC N3,VELA,ARTIGOS PARA FESTAS
6257,CHOC TAB GAROTO TALENTO AMENDOAS/PASSAS 90G,CHOCOLATE TABLETE,BOMBONIERE
6258,BALAS HARIBO 100G DENTINHOS,BALAS - MASTIGÁVEIS,BOMBONIERE
6259,ESFIHA DE CARNE 90G,CARNE,ESFIHA
6260,LOCAO HID HIDRADERM EQUILIBRIO 200ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
6261,"CALDO SAZON 37.5G, CARNE PANELA",TABLET CARNE,CALDO
6262,MUDA THUIA STRIKITA PT-24,TUIA,"PLANTAS, FLORES E ACESSÓRIOS"
6263,CARRO SPEED NA CAIXA 39CM,VEÍCULOS,BRINQUEDOS MENINOS
6264,SAB INTIMO INTIMAX SOFT 200ML 2UN/PG1UN,SABONETE ÍNTIMO,HIGIENE ÍNTIMA FEMININA
6265,SAND AD INUP SLIM FEMININA ILM 001 37/38,SANDÁLIA,CALÇADO ADULTO
6266,QUEIJO RICOTA FRESCAL MADRE DEUS PESO,RICOTA,QUEIJO
6267,SALG TORCIDA JR 50G COST.C/LIMAO,SALGADINHO DE TRIGO,SALGADINHO E APERITIVO
6268,SORVETE IOG DCREMOSINHO 400G CAJA,POTE TRADICIONAL,SORVETE
6269,FEIJAO VAPZA PRETO COZ VAPOR CX 500G,FEIJÃO PRETO,ARROZ
6270,FILTRO AR WEGA FAP9013,FILTRO DE AR,AUTOMOTIVO FILTROS
6271,POLPA DE FRUTA 400g TROPTIME CAJA,CAJÁ,POLPA DE FRUTA
6272,BEB LACT MATILAT 900ML FRUTAS VERM SC,BEBIDA LÁCTEA,IOGURTE
6273,LANTERNA IMP VIDRO D BL0185,LANTERNA,ILUMINAÇÃO
6274,LIMPA METAIS POLIDORO 200ML,LIMPA ALUMINIO/INOX,POLIDOR
6275,FUBA MILHO KI-FLOR 500GR MIMOSO,FUBÁ,FARINÁCEO
6276,POTE RETANGULAR SANREMO ALTO 1.3L,POTES,UTENSÍLIOS DE PLÁSTICO
6277,BISC DIET COOKIES VITAO INTEG C/COB CHOC ZERO BANANA 80G,COOKIE,BISCOITO
6278,MASSA FR LASANHA SIORELLA 500G,MASSA LASANHA,MASSA FRESCA
6279,CHOC BOMBOM NESTLE ESPECIALIDADES 357G,CHOCOLATE BOMBOM,BOMBONIERE
6280,COND PAIXAO FLORES LAVANDA/MINER. 350ML,TRADICIONAL,CONDICIONADOR
6281,PIMENTA CHELLI MOIDA PCT 15G,PIMENTA OUTRAS,CONDIMENTO NATURAL
6282,MANGUEIRA NUTRIGARDEN 20M 7 16X1.5MM,MANGUEIRA,JARDINAGEM CUIDAR
6283,PASCOA OVO VILLAGE AO LEITE 80G,OVO DE PÁSCOA,OVO DE PÁSCOA
6284,FRALDA BABYSEC JUMBINHO G-PINTADINHA P 22UN,BÁSICA G,FRALDA INFANTIL
6285,VINHO ESTAMPA FINA/GRAN RES CAR/CS 750ML,VINHO TINTO,VINHO
6286,AP BARB SCHICK ULTRABARBA NORMAL C/2,DESCARTÁVEIS,APARELHO DE BARBA
6287,AGRIAO LAZAROTO HIDROPONICO 300G,AGRIÃO,VERDURAS
6288,PALM IVAI 300G GOLD,INTEIRO,PALMITO
6289,FAROFA MILHO D.GOIAS C/PIMENTA 400G,FAROFA DE MILHO,FARINÁCEO
6290,SH CAPICILIN 250ML OLEO COCO,ÓLEO DE COCO,SHAMPOO
6291,AZEITE OLIVA IBERO EXTRA VIRGEM PET 2L,EXTRA VIRGEM,AZEITE
6292,LIMP BANH HARPIC PINHO SILV 500ML,REGULAR,LIMPADOR BANHEIRO MULTIUSO
6293,D.SANIT DESODOR PEDRA 40G C/1 LAVANDA FRESH,PEDRA,LIMPEZA SANITÁRIA
6294,SACO LIXO BOM DEMAIS AZ 15L/100,SACO DE LIXO,SACOS
6295,BISC DELICITA VITARELLA 400G ORIGINAL,TRADICIONAL,BISCOITO
6296,SANDALIA HAVAIANAS NEW BABY HEROIS TURQ MOR 23/24,SANDÁLIA,CALÇADO INFANTIL
6297,PUDIM ZERO PO LINEA SUCRAL CARAMELO 25G,MISTURAS,FARINÁCEO
6298,POTE KUKA P/LEITE PO 1UN VERDE,INTEGRAL,LEITE EM PÓ
6299,MUDA POINSETIA VERM PT-14,TUIA,"PLANTAS, FLORES E ACESSÓRIOS"
6300,PIMENTA BOMBAY CAIENA PO VD 60G,PIMENTA OUTRAS,CONDIMENTO NATURAL
6301,MILHO VERDE NAT ORG FITO ARTES 900G -BJ,MILHO VERDE,MILHO VERDE EM CONSERVA
6302,KIT SACO PRESENTE CROMUS INFANTO P UN,SACO DE PRESENTE,PAPELARIA
6303,TOALHINHA UMEDECIDA ISABABY C/100,TRADICIONAL,TOALHA UMEDECIDA INFANTIL
6304,CERVEJA 269ml LT PROIBIDA C/12,PILSEN,CERVEJA
6305,AZEITONA VERDE DON PE 500g,VERDE COM CAROÇO,AZEITONA
6306,FRANGO CONG.KORIN KG,AVE INTEIRA,AVE CONGELADA
6307,LAVA ROUPA SONHO LIQ 3L DUPLA ACAO,BÁSICO,LAVA ROUPA LÍQUIDO
6308,SH SEDA REST INSTANT 325ML,HIDRATAÇÃO,SHAMPOO
6309,COPO DESC BRIGADEIRO C/10 COLORIDO SERTPLAST,COPO,ARTIGOS PARA FESTAS
6310,GELEIA MOCOTO 400g,SABORIZADO,GELÉIA DE MOCOTÓ
6311,SH PANTENE CONTROLE QUEDA 200ML,ANTI-QUEDA,SHAMPOO
6312,FITA 3M CREPE ADE un,FITA ADESIVA,PAPELARIA
6313,CR TRAT SKALA MANT.KARITE 1KG,TRADICIONAL,CREME PARA TRATAMENTO
6314,DOCE ABOBORA CONFIRMA 50UN,ABÓBORA,DOCE PASTA
6315,ALIM GATO SABOR&VIDA MOLH FRANG/LINH 85G,ÚMIDO,ALIMENTO PARA GATOS
6316,PENTE MARCO BONI C/ CABO 0036,PENTES PARA CABELO,ACESSÓRIOS PARA CABELO
6317,CERV CONTI ZERO LT GRAU 269ML,ESPECIAIS,CERVEJA
6318,CANELA TOQUE DE CLASSE EM CASCA 20G,CANELA,CONDIMENTO NATURAL
6319,CAIXA DE PRESENTE GRANDE 1 -DAISO,CAIXAS DECORADAS,PAPELARIA
6320,PICANHA SUINA ALEGRA FATIADA CONG KG,PICANHA,SUÍNO CONGELADO
6321,BALA DROPS PAST DOCILE MINI 8 SM 40G,BALAS - DROPS E PASTILHA,BOMBONIERE
6322,FAROFA MAND PICININ MINEIRA CASEIRA 350G,FAROFA DE MANDIOCA,FARINÁCEO
6323,QUEIJO MUCARELA PRESIDENT FAT 1KG,MUSSARELA,QUEIJO
6324,LIXA UNHA UBU VIDRO X FILE,LIXA UNHA,ACESSÓRIOS MÃO E PÉ
6325,CJ COPO KREA VIVA ALTO VIDRO 275ML C/6,CONJUNTO DE COPOS,UTENSÍLIOS DE VIDRO
6326,MOLHO PIMENTA ARMAZEM CALABRESA 150ML,TRADICIONAL,MOLHO DE PIMENTA
6327,BEB LAC CEMIL 200ML-TP CARAM,BEBIDA LÁCTEA,IOGURTE
6328,CHOC WAFFER BIS XTRA BCO 45G,CHOCOLATE CHOCOWAFFER,BOMBONIERE
6329,CIG DUNHILL DC KS NR DETOLL HW RLC BOX C/5,CIGARRO,CIGARRO
6330,SALGADINHO KERUS 100GR CEBOLA E SALSA,SALGADINHO DE MILHO,SALGADINHO E APERITIVO
6331,REFRESCO REFRESKYTOS 140ML,MANGA,REFRESCO EM PÓ
6332,BISC SALG INTEG NESTLE 170G-PC GERG,INTEGRAL,BISCOITO
6333,CERV DUVEL 330ML TRIPEL HOP,ESPECIAIS,CERVEJA
6334,"DOCE PETROGOOD 200G, BRIGADEIRO",BEIJINHO,DOCE FESTA
6335,PENDENTE TASCHIBRA TD 3007 FUME 1XE27,PENDENTE,ILUMINAÇÃO
6336,"TOALHA DE BANHO ROYAL KNUT, BRANCO",TOALHA,BANHO
6337,CAQUI FUYU GRANEL KG,CAQUI,FRUTAS
6338,DESINF SUPER CANDIDA LAVANDA 2L,DILUÍDO,DESINFETANTE
6339,MILHO PIPOCA KODILAR 500G,MILHO PIPOCA ,GRÃOS/CEREAIS
6340,CR TRAT KERATINOLOGY RECONSTRUTOR 30G,TRADICIONAL,CREME PARA TRATAMENTO
6341,ESPATULA INOX VAZADA MANANCIAL 002524,ESPÁTULA,UTENSÍLIOS DE INOX/ALUMÍNIO
6342,PRATO FUNDO 22cm OXFORD MIX,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
6343,SEMENTE LINHACA DOUR NATUS 200G,SEMENTE DE LINHAÇA,SAUDÁVEL
6344,"RACAO GRANCAO PA 8 KG, CARNE C/OSSINH",SECO,ALIMENTO PARA CÃES
6345,QUEIJO CRIOULO MUSSARELA FATIADO 150G,MUSSARELA,QUEIJO
6346,ATUM COQUEIRO RALADO NATURAL LIGHT 170G,ATUM RALADO NATURAL,PEIXE EM CONSERVA
6347,CADERNO CD UNIV MMA 1X10 200FLS,CADERNO,MATERIAL ESCOLAR
6348,MASSA FR LASANHA FRED 450G S/GLUTEN BOLONHESA,MASSA LASANHA SEM GLÚTEN,MASSA FRESCA
6349,COLEIRA BAW WAW CORES N.8,COLEIRA,ACESSÓRIOS PET
6350,CR TRAT SKALA GOLD ADVANCED 1KG,TRADICIONAL,CREME PARA TRATAMENTO
6351,MEIA SIGVARIS PERFORMANCE M 41-44 PRETA,ORTOPÉDICOS,MEIA
6352,SUSPIRO UAI 100GR,SUSPIRO,BOMBONIERE
6353,"POTE (PLASTICO, CAPAC. 920ML, 2 UNID.) -DAISO",POTES,UTENSÍLIOS DE PLÁSTICO
6354,SHA MULTIACAO BRILHO DIARIO 400ML,BRILHO,SHAMPOO
6355,QUEIJO FROMELLE COTTAGE S/ LACTOSE 400G,COTTAGE ZERO LACTOSE,QUEIJO
6356,EDREDOM ANDREZA A RIVIERA SOLT VN H529,EDREDOM,CAMA
6357,TODDY ACHOCOLATADO LIGHT 380g,ACHOCOLATADO,MODIFICADOR DE LEITE
6358,IOGURTE DANONINHO VIT MOR/CEN/CE 130G(V),TRADICIONAL,IOGURTE
6359,LEITE SAB CHOCO TODDYNHO 200ML,CHOCOLATE,LEITE SABORIZADO
6360,BATATA RIO DE UNA ORG 500GR,BATATA,LEGUMES
6361,AGRIAO VILLA DAS FOLHAS 140G,AGRIÃO,VERDURAS
6362,ALIM CAES PEDIGREE SC AD CR 100G L12 P10,SECO,ALIMENTO PARA CÃES
6363,CERVEJA BODEBROWN PERIGOSA BABY 330ML,IPA,CERVEJA
6364,VINHO PORTUGUES CASAL GARCIA BCO 750ML,VINHO PORTUGUÊS,VINHO
6365,SACOLA FEST LAR MORANGUINHO C 10,SACOLA,ARTIGOS PARA FESTAS
6366,LATOY BRINQ PET VAQUITA LATEX,BRINQUEDO,ACESSÓRIOS PET
6367,LENCO UMED DOVE BABY WIPES HIDRAT ENRIQ C/50UN,LENÇO UMEDECIDO INFANTIL,LENÇO UMEDECIDO INFANTIL
6368,CABIDE ADULTO NITRON CJ 03PC COLOR EXTRA,CABIDE,ACESSÓRIOS DE LAVANDERIA
6369,JG PANELA TRAMONTINA PIACENZA 20799706,CONJUNTO DE PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO
6370,REFR PO MAIS MANGA 25G,MANGA,REFRESCO EM PÓ
6371,TEMPERO GARAM MASALA BR SPICES 90G,TEMPERO PRONTO,TEMPERO
6372,UVA THOMPSOM HIGIENZ VERDEKAL 300G,UVA,FRUTAS
6373,DOCE LEITE CASTELLANI CHOC 600G,DOCE DE LEITE,DOCE PASTA
6374,LEITE PO INTEG INST ITAMBE LV400G PG360G,INTEGRAL,LEITE EM PÓ
6375,LIMPA PISO DESTAC PRIMAVERA 500ML,LIMPA PISO TRADICIONAL,TRATAMENTO DE PISO
6376,SH DOVE OLEO NUTRICAO 200ML,HIDRATAÇÃO,SHAMPOO
6377,CORDA VARAL MOR REVESTIDA 15MT,CORDA PARA VARAL,ACESSÓRIOS DE LAVANDERIA
6378,RODO AVANCO ALUMINIO 40CM,RODO CHÃO,LIMPEZA
6379,RALINHO MUNDO FACIL PIA/LAVATORIO,RALINHO,UTENSÍLIOS DE INOX/ALUMÍNIO
6380,SALAME kg SEARA ITALIANO PEQUENO,ITALIANO,SALAME
6381,CR SEDA BOOM 3EM1 LIBERADO 200ML,TRADICIONAL,CREME DE PENTEAR
6382,CANJA SUBSTANCIA GALINHA 450G,CANJA,SOPA
6383,COPO NADIR FIGUEIREDO JOINVILLE 680ML,COPO,UTENSÍLIOS DE VIDRO
6384,"REFRIG MARAJA GUARANA PET 1,5L",GUARANÁ,REFRIGERANTES
6385,PERA BOSCH KG,PERA,FRUTAS
6386,EXTR TOM OLE LT 350G,TRADICIONAL,EXTRATO DE TOMATE
6387,DESINF DILUIV AMO BABY 140ML,DILUÍDO,DESINFETANTE
6388,AMAC ROUPA FOFO CHEIRINHO BEBE 2L,TRADICIONAL,AMACIANTE
