DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
SANDALIA HAVAIANAS TOP ANIMALS ROSA GOLD 35/36,SANDÁLIA,CALÇADO ADULTO,CALÇADO
REPOLHO CULTURA ORG UN,REPOLHO ORGÂNICO,VERDURAS,HORTIFRUTI
FRUTOS DA TERRA GERGELIM DESCASCADO 200g,GERGELIM,SAUDÁVEL,MERCEARIA DOCE
DOCE LEITE CARACU LEITE C/COCO 680G,DOCE DE LEITE,DOCE PASTA,MERCEARIA DOCE
QUEIJO PRESIDENT PRATO FAT BJ 150G,PRATO,QUEIJO,FRIOS
CHOC GAROTO TALENTO NIBS DARK 70% BR 75G,CHOCOLATE 70% CACAU,BOMBONIERE,MERCEARIA DOCE
CR TRAT KANECHOMN M.FRUIT CITRUS 1KG,TRADICIONAL,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
SAB BAR OX PLANTS VEGETAL CHA VDE 90G,GLICERINADO,SABONETE BARRA,HIGIENE PESSOAL
SAND AD IPANEMA LIKE FEM ROSA/ROSE,SANDÁLIA,CALÇADO ADULTO,CALÇADO
PAPEL HIG DAMA 4X60M .,FOLHA DUPLA,PAPEL HIGIÊNICO,HIGIENE PESSOAL
LAMPADA AVANT TRIPLA 25W 127V,LÂMPADA,ILUMINAÇÃO,MANUTENÇÃO
PEITO FGO REGINA CONG 1KG,PEITO DE FRANGO,AVE CONGELADA,AÇOUGUE
GARRAFA FRUTTI CRISTAL 1.5L,JARRA/GARRAFA,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
PINCA MARCO BONI DECOR INOX 6128B,ACESSÓRIOS MAQUIAGEM - PINÇA,MAQUIAGEM,CUIDADOS COM O ROSTO
ACUCAR DE COCO VILA ERVAS KG,ESPECIAIS,AÇÚCAR,MERCEARIA DOCE
DOCE VIDA POLPA DE FRUTA 100g PESSEGO,PÊSSEGO,POLPA DE FRUTA,CONGELADOS DOCES
DES AER NIVEA - 150ML STRESS PRO MASC,AEROSOL COM PERFUME,DESODORANTE MASCULINO,CUIDADOS COM O CORPO
FILE SALMAO DAMM MARINADO FAT 100G,FILÉ DE SALMÃO,PEIXE RESFRIADO,PEIXARIA
TINT TONAL SALON-L LIGTH COLOR PROF 45G 2.0 PTO,TONALIZANTE PRETO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
LINGUICA MACHULEK COLONIAL KG,TRADICIONAL,LINGUIÇA,EMBUTIDOS
ENERGETICO POWER GUARANA C/ACAI LT 300ML,SABORIZADO,ENERGÉTICO,BEBIDAS NÃO ALCOÓLICAS
VINHO ITALIANO 750ml RONDINETO MERLOT,VINHO ITALIANO,VINHO,BEBIDAS ALCOÓLICAS
POLPA BOACHA 100G ABACAXI C/HORT,ABACAXI COM HORTELÃ,POLPA DE FRUTA,CONGELADOS DOCES
ESCOVA DENT DENTIL PLUS WHITENING GTS FIO DENT,ESCOVA DENTAL BÁSICA,ESCOVA DENTAL ADULTO,HIGIENE ORAL
GELEIA NOEL 390G LIGHT MORANGO,GELEIA TRADICIONAL,GELÉIA,MERCEARIA DOCE
NOZ MOSCADA SIAMAR PO 30G,NOZ MOSCADA,CONDIMENTO NATURAL,MERCEARIA SALGADA
ESMALTE LATIKA PINA SAVEUR 9ML,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
BOLSA TERM NYLON KORIN PTO,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS,LAZER/CAMPING
COXA SOBR FR AGRECO S/O/P CONG ORG 600G,COXA COM SOBRECOXA,AVE CONGELADA,AÇOUGUE
PIRULITO DIPLOKO 165G-DY C15 MOR,PIRULITO FRUTAS,BOMBONIERE,MERCEARIA DOCE
BISC TRAKINAS RECH CHOCOLATE PCT 126G,RECHEADO,BISCOITO,MERCEARIA DOCE
POLPA LAYNE 100GR UVA .,UVA,POLPA DE FRUTA,CONGELADOS DOCES
CACAROLA C/ ALCA nr16 ALUMAX,CAÇAROLA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
QUEIJO PRATO QUATA LANCHE kg,PRATO,QUEIJO,FRIOS
SAB INTIMO INTIMUS SUAVE 200ML,SABONETE ÍNTIMO,HIGIENE ÍNTIMA FEMININA,CUIDADOS COM O CORPO
CR DENT CREME SENSODYNE 50G LV2 GTS A.SEPT. SENSODYNE 300ML,CREME DENTAL TRATAMENTO,CREME/GEL DENTAL ADULTO,HIGIENE ORAL
VINHO CHATEAU NICOT BCO GFA 750ML,VINHO BRANCO,VINHO,BEBIDAS ALCOÓLICAS
COGUMELO FERRER CONSERVA WILD MIX 340G,CONSERVA,COGUMELO,MERCEARIA SALGADA
ASSADEIRA RETANGULAR MARANA ALTA N.02,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
EDREDOM ACASA SOLT N SHERPA MARINHO,EDREDOM,CAMA,"CAMA, MESA E BANHO"
"AREIA PIPICATá4KG, CAMPESTRE",AREIA,HIGIENE/LIMPEZA PET SHOP,PET SHOP
PASCOA MINI OVO NESTLE TRADICIONAIS 120G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
MACARRAO ESPAGUETE 500g CESTA BSB,ESPAGUETE,MASSA SECA,MERCEARIA SALGADA
MIST BOLO DONA BENTA MOUSSE 400G,MISTURAS,FARINÁCEO,MERCEARIA DOCE
SANDALIA HAVAIANAS TOP GA LILAS SOFT 41/42,SANDÁLIA,CALÇADO ADULTO,CALÇADO
DEPILAT CRE DEPI ROLL PRE HORTELA 100ML,CREME CORPO,DEPILATÓRIO FEMININO,CUIDADOS COM O CORPO
COND KAMAMESHI KINOKO 137G,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
PASCOA OVO KINDER POLLY 100G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
BISC WAFF DIZIOLI LANCHE CHOC DY 400G C/20,WAFFER,BISCOITO,MERCEARIA DOCE
PORTA TALHER ACASA CROMADO 787C,PORTA TALHER,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
MACACAO ABABY 3/6M AZ,MACACÃO,PUERICULTURA,INFANTIL
LAMPADA TASCHIBRA TRIP 15W 220 6400K,LÂMPADA,ILUMINAÇÃO,MANUTENÇÃO
"VINHO NACIONAL GFO RANDON SV BCO 4,6L",VINHO NACIONAL,VINHO,BEBIDAS ALCOÓLICAS
FACA DESC FESTCOLOR LL C/10,TALHERES,ARTIGOS PARA FESTAS,DESCARTÁVEIS
ODORIZADOR 250ml BOM AR FRESHMATIC AP PROMO LAVANDA,ELIMINADOR DE ODOR,PURIFICADOR DE AR,CUIDADOS COM A CASA
MAMADEIRA LILLO SUPER MA AZ 260ML 611921,MAMADEIRA,PUERICULTURA,INFANTIL
TOALHA UMED USE IT BABY C/100,TRADICIONAL,TOALHA UMEDECIDA INFANTIL,HIGIENE PESSOAL INFANTIL
CHOC MOVENPICK SUICO CHOCO CHIP 70G,CHOCOLATE IMPORTADO,BOMBONIERE,MERCEARIA DOCE
SAB BAR ANTIBAC LIFEBUOY TOTAL 85G,ANTI-BACTERIANO,SABONETE BARRA,HIGIENE PESSOAL
CAFE ALMOF CAMINHO ROCA PC 250G,ALMOFADA TRADICIONAL,CAFÉ,MERCEARIA DOCE
ARROZ RISO VIGNOLA BASMATI CX 500G,CULINÁRIA ITALIANA,ARROZ,MERCEARIA SALGADA
COXA COM SOBRECOXA FRANGO CONG SADIA CX 1kg,COXA COM SOBRECOXA,AVE CONGELADA,AÇOUGUE
PAO CIABATA SAO LUIZ KG,CIABATA,PÃES,PADARIA
REFR PO TANNY MARACUJA 35G,MARACUJÁ,REFRESCO EM PÓ,BEBIDAS NÃO ALCOÓLICAS
ADOC PO LINEA CULINARIO 70G LV2PG1,SUCRALOSE,ADOÇANTE,MERCEARIA DOCE
COOKIE 60g VISCONTI INT CACAU,COOKIE,BISCOITO,MERCEARIA DOCE
SANDALIA HAVAIANAS TOP MAX BASIC CINZA GELO 45/46,SANDÁLIA,CALÇADO ADULTO,CALÇADO
ATIVADOR CACHOS QUERO CACHOS 300ML,ATIVADOR DE CACHOS,TRANSFORMAÇÃO CABELOS,CUIDADOS COM O CABELO
JG CAMA TEKA HARMONIA SOLTEIRO 3 PCS CZ,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
SANDUICHE PEITO PERU KG,SANDUICHE,LANCHE PRONTO,CONGELADOS SALGADOS
BISC AMANT AYMORE LEITE/CHOC 330G,AMANTEIGADO,BISCOITO,MERCEARIA DOCE
HASTE FLEX CLIN OFF FLIP TOP C/150UN,HASTES FLEXÍVEIS,HASTE FLEXÍVEL,CUIDADOS COM O CORPO
ESPUMANTE ARG NOVECENTO EXTRA BRUT 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
BISC LEITE PARATI 370G,LEITE,BISCOITO,MERCEARIA DOCE
DES AERO REXONA NATURALS PROTECTION 105G,AEROSOL COM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
SUCO DE UVA 200ml ALIANCA TINTO,INTEGRAL,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
PO COMPACTO VULT BASIC 03 9G,PÓ COMPACTO,MAQUIAGEM,CUIDADOS COM O ROSTO
PICOLE DILETTO COCO MALASIA 50G,PICOLÉ,SORVETE,CONGELADOS DOCES
CONDIC CAB PHYTOERVAS COR RESISTE 250ML,OUTROS,CONDICIONADOR,CUIDADOS COM O CABELO
LAMP ELET OUROLUX ESPIRAL 33W 127V,LÂMPADA,ILUMINAÇÃO,MANUTENÇÃO
T.PROVITAL KIT 70 LOU.MED.,PERMANENTE LOURO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
TOALHA PRAIA TEKA AVELUDADA RS,TOALHA,BANHO,"CAMA, MESA E BANHO"
REFRESCO KI SUCO UVA PCT 25G,UVA,REFRESCO EM PÓ,BEBIDAS NÃO ALCOÓLICAS
SH KERATINOLOGY 200ML POS PROGRESSIVA,PÓS QUÍMICA,SHAMPOO,CUIDADOS COM O CABELO
BISC RECH ADRIA MOUSSE COCO CHOC 150G,RECHEADO,BISCOITO,MERCEARIA DOCE
RODO DALLIAN AMERICANO 33CM REFIL,RODO CHÃO,LIMPEZA,LAVANDERIA
ESTOJO TECIDO MODELO 2970,ESTOJO,MATERIAL ESCOLAR,PAPELARIA
"DOCE FRUTA OLIVEIRA BANANA 400G,",BANANA,DOCE PASTA,MERCEARIA DOCE
PAO DE QUEIJO AURORA COQUETEL 400G,COQUETEL,PÃO DE QUEIJO,SALGADOS
SACA ROLHA C/ABRIDOR MUNDO FACIL,SACA ROLHA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
FLANELA LIMPPANO PEQ SUPERFICIE,FLANELA PEQUENA,PANOS/FLANELAS,LAVANDERIA
ACESSORIOS DONNA CHIC,PENTES PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
SAB BAR MADRESSENZA VEGETAL STA TERRA CLASS 180G,HIDRATANTE,SABONETE BARRA,HIGIENE PESSOAL
VASS CONDOR V 09,VASSOURA,LIMPEZA,LAVANDERIA
ICE BALALAIKA KIWI 275ML,ICE,COOLER/ICE,BEBIDAS ALCOÓLICAS
REFRIG CONQUISTA UVA PET 2L,UVA,REFRIGERANTES,BEBIDAS NÃO ALCOÓLICAS
VINHO ESPANHOL MUMM BRUT GFA 187ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
MANGUEIRA PLASTMAR P/JARDIM 10MTS,MANGUEIRA,JARDINAGEM CUIDAR,JARDINAGEM
CHIPS FHOM MIX BATATA DOCE PCT 45G,CHIPS,SAUDÁVEL,MERCEARIA DOCE
PIRULITO PSICO-LITO 450G-PC C50 COLORIDO,PIRULITO OUTROS,BOMBONIERE,MERCEARIA DOCE
COND ELSEVE CERAMIDA R 200ML,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
SHAM INF GRANADO BEBE LAV FR 250ML,USO DIÁRIO,SHAMPOO INFANTIL,HIGIENE PESSOAL INFANTIL
GARRAFA TERMOLAR 300ML MINITERMO SORTIDA,GARRAFA TÉRMICA,UTENSÍLIOS PARA CAFÉ,UTILIDADES DE COZINHA
GEL FIX NEW KEUS PUMP VERDE 250G,FIXADOR,FIXADOR DE CABELO,CUIDADOS COM O CABELO
TAPETE ANTIDERRAPANTE DE PVC 45X80 CM -DAISO,TAPETES,CAPACHOS E TAPETES,DECORAÇÃO
"SALGADINHO YOKI BACON 54G,",SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO,MERCEARIA DOCE
DESINF YPE BAK FLORAL 2L,DESINFETANTE,DESINFETANTE,CUIDADOS COM O BANHEIRO
FAQUEIRO TRAMONTINA 75P MALIBU 23799019,FAQUEIRO,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
MANGA VERDEKAL 300G-CP PICADA,MANGA,FRUTAS,HORTIFRUTI
ACUCAREIRO OU VITRA AC550NT,AÇUCAREIRO,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
AMENDOA TORRADA KG,AMÊNDOA,FRUTA SECA,EMPÓRIO
LAVA ROUPA COMFORT LIQ FIBER PROT FR 3L,ALTA PERFORMANCE,LAVA ROUPA LÍQUIDO,CUIDADOS COM A ROUPA
KIT CHOCOLATE LINDT SWISS CLAS C/3 300G,CHOCOLATE IMPORTADO,BOMBONIERE,MERCEARIA DOCE
MAC NINFA SEMOLA 500GR FIDELINHO,MASSA SÊMOLA,MASSA SECA,MERCEARIA SALGADA
FRONHA MF AVULSA 50X70 BC,FRONHA ,CAMA,"CAMA, MESA E BANHO"
BETERRABA ESPECIAL kg BAND,BETERRABA,LEGUMES,HORTIFRUTI
EMPADAO FGO SAO LUIZ KG,FRANGO,EMPADA,SALGADOS
COBER SORVETE KARO CHOCOLATE 340G,SORVETE,COBERTURA,MERCEARIA DOCE
RACAO AVE CAMPINA FOSFATEC 500G,RAÇÃO,ALIMENTO PARA AVES,PET SHOP
VINHO CHILENO BELLEGRAVE POMEROL GFA 750ML,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
BAUD EMB KIT PANET GDE C/3,TRADICIONAL,PANETONE,MERCEARIA DOCE
AGUA MINERAL S/ GAS 200ml COPO PURA E LEVE,SEM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
COND DOVE REGENERATE NUTRITION 200ML,NUTRIÇÃO,CONDICIONADOR,CUIDADOS COM O CABELO
CHOC NEUGEBAUER 65G MU-MU K. LEITE,CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
VINHO ITA RED ITALIAN WINE CARAVAGGIO 750ML,VINHO ITALIANO,VINHO,BEBIDAS ALCOÓLICAS
BEB ENERG WILD DRAGON LT 330ML CLUBE,TRADICIONAL,ENERGÉTICO,BEBIDAS NÃO ALCOÓLICAS
ESM BETULLA SANDY PEROLADO LUME 325 1UN,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
SAB LIQ FARNESE 365ML FLOR CEREJEIRA,PERFUMADO,SABONETE LÍQUIDO,HIGIENE PESSOAL
TINT PERM IMEDIA CR KIT ICE COLOR 2.1 PTO,PERMANENTE PRETO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
AMPOLA TRAT SKAFE SEMI D LINO 10ML,AMPOLA,TRANSFORMAÇÃO CABELOS,CUIDADOS COM O CABELO
DOCE LEITE AUREA PT 400G (PP),DOCE DE LEITE,DOCE PASTA,MERCEARIA DOCE
CREME DE CEBOLA TOSCANO 65G,SOPA CREMOSA CEBOLA,SOPA,MERCEARIA SALGADA
PENTE BASICO BONITTA PEQUENO,PENTES PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
CELULAR SAMSUNG GALAXY S8 PT SM-G950,TELEFONIA MOVEL,TELEFONIA,ELETRO
PROTEINA ESSENTIAL SH 30G CACAO WHEY,PROTEÍNA,SUPLEMENTO ALIMENTAR,MERCEARIA DOCE
VINHO VILA REAL COLHEITA 750ML ADEGA,VINHO PORTUGUÊS,VINHO,BEBIDAS ALCOÓLICAS
SORVETE PICOLE DILETTO 10G ESP VANILA CHOC,PICOLÉ,SORVETE,CONGELADOS DOCES
ESM COLORAMA ACESSORIOS CINTO 8ML,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
"SORVETE NESTLE 1,5L CREME GOURMET",POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
EMPANADO FRANGO LAR FILEZINHO 700G,STEAK DE FRANGO,EMPANADO,CONGELADOS SALGADOS
FITAS&FAIXAS RABICO C/6 660119,FITAS,PAPELARIA,PAPELARIA
EVITA ESFRE MOFO 80g,ANTI-MOFO,PURIFICADOR DE AR,CUIDADOS COM A CASA
INSET AERO MAT INSET MATA CUPIM 300ML,AEROSOL INSETOS,INSETICIDA,CUIDADOS COM A CASA
CAPA CONTRA FILE kg .,CAPA DE CONTRA FILÉ,BOVINO CONGELADO,AÇOUGUE
BISC NINFA 110GR RECH MORANGO,RECHEADO,BISCOITO,MERCEARIA DOCE
MOLHO TONKATSU SUCE 300 ML,MOLHOS,COMIDA ORIENTAL,MERCEARIA SALGADA
BOLO DIET SUAVIPAN ZERO ACUCAR CHOC 250G-PC,DIET,BOLOS,MERCEARIA DOCE
COMINHO MOIDO TELL 20G,COMINHO,CONDIMENTO NATURAL,MERCEARIA SALGADA
FORNO ELET PHILCO 46L 127V,CONVENCIONAL,FORNO ELÉTRICO,ELETRO
AMIDO MILHO MILHENA 5KG,AMIDO DE MILHO,AMIDO DE MILHO,MERCEARIA DOCE
BAND-AID 40und VARIADOS,BAND-AID,CURATIVO,DESCARTÁVEIS
AGUA MINERAL LINDOYA GF 510ML C/GAS .,COM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
QUEIJO GRUYERE SAO VICENTE FRACAO KG,OUTROS ESPECIAIS,QUEIJO,FRIOS
"BATATA YOKITOS ONDA 45G, ESPECIAL",BATATA REGULAR,SALGADINHO E APERITIVO,MERCEARIA DOCE
"SUCO PTO MAGUARY LIFE 0,0%ACUC ABACXI 1L",ZERO AÇÚCAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
VINHO TTO ALMA NEGRA 750ML PINOT NOIR ARG,VINHO TINTO,VINHO,BEBIDAS ALCOÓLICAS
CURRY KI SABOR PO PREMIUM 60G,CURRY,CONDIMENTO NATURAL,MERCEARIA SALGADA
TUB WAFER SORVETE TUB-IN MONTEVERG MOR 48G,TUBETES,BOMBONIERE,MERCEARIA DOCE
IOG TIPO ISLANES CORPUS SKYR 120G FRAMBOESA,TRADICIONAL,IOGURTE,IOGURTES
"ALIM P CAES 2KG, STREET DOG",SECO,ALIMENTO PARA CÃES,PET SHOP
T.BEAUTY COLOR KIT CR. 10.11 LOU.PLAT.,PERMANENTE LOURO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
PASCOA OVO NESTLE SURPRESA ARIEL 180G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
FAROFA MAND ANGELICA 250G TRAD,FAROFA DE MANDIOCA,FARINÁCEO,MERCEARIA DOCE
COXAO MOLE kg ESPETINHO TEMP,COXÃO MOLE,BOVINO RESFRIADO,AÇOUGUE
JG AMERICANO KREA BAMBOO C/4,JOGO AMERICANO,MESA,"CAMA, MESA E BANHO"
VINHO CHILENO APALTAGUA EST SELEC CARM 750ML,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
BOLACHA TIETA 200G,TRADICIONAL,BISCOITO,MERCEARIA DOCE
LINGUICA SAUDALI PERNIL PIMENTA kg,PERNIL,LINGUIÇA,EMBUTIDOS
MASC CILIOS ARCANCIL PTO 049 1UN,MÁSCARA DE CÍLIOS,MAQUIAGEM,CUIDADOS COM OS OLHOS
ACHOCOLAT DIET PO LOWCUCAR 210G-PT,ACHOCOLATADO,MODIFICADOR DE LEITE,MERCEARIA DOCE
BONECA ABC BABY BRINQUE FELIZ,BONECAS/BONECOS,BRINQUEDOS MENINAS,BRINQUEDO
SANDALIA IPANEMA SUNDAE .,SANDÁLIA,CALÇADO ADULTO,CALÇADO
PEDRA MUNDO FACIL P/AFIAR CANOA .,PEDRA PARA AFIAR,ACESSÓRIOS DE MANUTENÇÃO,MANUTENÇÃO
PEIXINHO SANFONADO PALETA SAB GOURMET KG,PEIXINHO,PEIXE RESFRIADO,PEIXARIA
LIMAO SICILIANO K,LIMÃO,FRUTAS,HORTIFRUTI
AMAC ROUPA CONC DOWNY BABY SENSIT 1L,DELICADA,AMACIANTE,CUIDADOS COM A ROUPA
SHAMPOO PANTENE 175ML HIDRA VITAMINADOS,HIDRATAÇÃO,SHAMPOO,CUIDADOS COM O CABELO
CHOC TAB ARCOR CHOKKO DUO 40G,CHOCOLATE TABLETE,BOMBONIERE,MERCEARIA DOCE
PALETA BOV FRIBOI (PECA) KG,PALETA,BOVINO RESFRIADO,AÇOUGUE
AP BARB PROBAK II REG C/2,DESCARTÁVEIS,APARELHO DE BARBA,CUIDADOS COM A BARBA
PANO PRATO MULT FACIL 40X65 FRISADO,PANO DE PRATO,PANOS/FLANELAS,LAVANDERIA
SANDALIA MORMAII GRAPHICS AZ/CZ 43X44,SANDÁLIA,CALÇADO ADULTO,CALÇADO
CUMBUCA COZA 500ML BRANCA,CUMBUCA,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
BISC COOK TRAD VISCONTI ORIG 60G,COOKIE TRADICIONAL,BISCOITO,MERCEARIA DOCE
AMENDOIM CROCK 80g,AMENDOIM,SALGADINHO E APERITIVO,MERCEARIA DOCE
BISC RICHESTER AMORI RECH 60G CHOCOLATE,RECHEADO,BISCOITO,MERCEARIA DOCE
"COMPOSTO NINHO LACT VEG PREBIO 400G, 3+",FÓRMULAS INFANTIS / COMPOSTO ALIMENTAR,NUTRIÇÃO INFANTIL,MERCEARIA DOCE
SOBREM CHANDELLE 720G-PACK LV8 PG7 CHOC,SOBREMESA,IOGURTE,IOGURTES
"BATATA CONG MC-CAIN 2,2KG- GTS 200G CORTE TRAD",BATATA,VEGETAL CONGELADO,CONGELADOS SALGADOS
KIT PROT LOREAL FPS30 120ML+FACIAL SECO 25G FPS30,PROTETOR SOLAR FACIAL,PROTETOR SOLAR FACIAL,CUIDADOS COM O ROSTO
FILE MERLUZA PORTO BELO 500G,FILÉ DE MERLUZA,PEIXE RESFRIADO,PEIXARIA
MINI BROWNIE PULLMAN DELI CHOCOLATE 35G,BROWNIE,BOLOS,MERCEARIA DOCE
PASCOA OVO ARCOR SUPERMAN 100G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
CHOC LINDT EXCELLENCE 85% CACAU BR 100G,CHOCOLATE 80% CACAU,BOMBONIERE,MERCEARIA DOCE
XAROPE GROSELHA CACHOEIRA 920ML,GROSELHA,XAROPE,BEBIDAS NÃO ALCOÓLICAS
PURIF AR NOAR ONE TOUCH RETRO RF 12ML,REFIL,PURIFICADOR DE AR,CUIDADOS COM A CASA
GRANOLA JASMINE CRANBERRY/ACAI S/G 250G,GRANOLA,SAUDÁVEL,MERCEARIA DOCE
BATATA BAROA LIRIO DO VALE 600G,BATATA,LEGUMES,HORTIFRUTI
ED.INF.ZOOTH MACIA BATMAN,ESCOVA DENTAL INFANTIL,ESCOVA DENTAL INFANTIL,HIGIENE ORAL
GARRAFA ALUMINIO C/ MOSQUETAO,JARRA/GARRAFA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
SAND IPANEMA AVENG INF 25/6 AZUL,SANDÁLIA,CALÇADO ADULTO,CALÇADO
INSET AERO STRAIK MULTINSETICIDA 300ML+150ML,AEROSOL INSETOS,INSETICIDA,CUIDADOS COM A CASA
PALITO VERTIX MANICURE C/100 3228 .,PALITO DE CUTÍCULA,ACESSÓRIOS MÃO E PÉ,CUIDADOS COM MÃOS E PÉS
CAIXA ORG OU G CO450BCF,CAIXA ORGANIZADORA,ORGANIZADOR,LAVANDERIA
COLAGENO SANAVITA 300G LIMAO + CLOROFILA,COLÁGENO,SUPLEMENTO ALIMENTAR,MERCEARIA DOCE
TALCO AVANTE DESODORANTE 100G SPORT,TALCO,DESODORANTE UNISSEX,CUIDADOS COM MÃOS E PÉS
CR DENT CREME SORRISO DENTE BCO 90G LV13 GTS2 CR DENT CREME SORR.FRESH,CREME DENTAL BRANQUEADOR,CREME/GEL DENTAL ADULTO,HIGIENE ORAL
LIQUIDIFICADOR PHILCO ACO ESCOVADO V 800W 220V,LIQUIDIFICADOR,LIQUIDIFICADOR,ELETRO
CREME PENTEAR NIELY GOLD AGUA COCO 280G,HIDRATAÇÃO,CREME DE PENTEAR,CUIDADOS COM O CABELO
COND ELSEVE LISS INT.EXTR. 300ML,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
VELA TRENTO AM N2 C/8,VELA,ILUMINAÇÃO,DECORAÇÃO
SHA PHISALIA TRANSFORMERS 2X1 400ML,USO DIÁRIO,SHAMPOO INFANTIL,CUIDADOS COM O CABELO
VASSOURA BETTANIN NOVICA ESCOVAO,VASSOURA,LIMPEZA,LAVANDERIA
"IOG LIQ MIX VIGOR 165G, CER BANANA",LÍQUIDO,IOGURTE,IOGURTES
SUCO PTO DEL VALLE 100% LAR 250ML,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
BATOM VULT 36,BATOM,MAQUIAGEM,CUIDADOS COM O ROSTO
SAB BAR LUX SUAVE SRP.MORANGO 90G PACK C/4,SUAVE,SABONETE BARRA,HIGIENE PESSOAL
VELA MINAS 7 DIAS FINA,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
REPELENTE REPELEX ACTIVE 100ML,SPRAY,REPELENTES,CUIDADOS COM O CORPO
BANDEJA DE ALUM PRATSY AL-7750NL .,BANDEJAS,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
PICANHA SUINA SEARA kg TEMPERAD PED,PICANHA,SUÍNO RESFRIADO,AÇOUGUE
COBRE LEITO ANDREZA D MACCHU KING CK702Z,COBRE LEITO,CAMA,"CAMA, MESA E BANHO"
MOLHO PREDILECTA PREMIUM MADEIRA VD 340G,MADEIRA,MOLHO CULINÁRIO,MERCEARIA SALGADA
REFRES CAMP 15G MORANGO,MORANGO,REFRESCO EM PÓ,BEBIDAS NÃO ALCOÓLICAS
SANDALIA HAVAIANAS BRASIL VD 39X40,SANDÁLIA,CALÇADO ADULTO,CALÇADO
MIX SEC AMEND REI AMENDOIM 550G BJ,MIX,FRUTA SECA,EMPÓRIO
ENERGETICO RED NOSE 1L PET,TRADICIONAL,ENERGÉTICO,BEBIDAS NÃO ALCOÓLICAS
SANDALIA HAVAIANAS FLAT SUNSET BEGE/VDE 33/34,SANDÁLIA,CALÇADO ADULTO,CALÇADO
CONDIM AJISAL RECRIA-SABOR 2KG,SAL PARA CHURRASCO,SAL,MERCEARIA SALGADA
MASSA FR PIZZA FRIG MEZZANI MINI 400G,PIZZA PARA FRIGIDEIRA/BROTINHO,MASSA FRESCA,MASSAS FRESCAS
MASCARA HIDRAT 400gr SALON OPUS YOGURT,MÁSCARA CAPILAR,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
AGUA COCO CAMPO LARGO GFA 900ML,NATURAL,ÁGUA DE COCO,BEBIDAS NÃO ALCOÓLICAS
FLOCOS TAPIOCA PARA CEIFEIRO 250G,TAPIOCA,FARINÁCEO,MERCEARIA DOCE
